	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo
8030462N17Rik	72.18	72.71	90.08	84.09	94.26	65.92	76.85	78.73	47.36	67.86	60.96	66.27	71.91	62.98	53.91	84.61	88.27	78.57	44.68	49.19	46.04	43.08	43.58	25.57	61.17	88.2	43.06	48.16	41.39	34.34	54.57	36.21	40.66
Zfp830	79.48	123.15	123.73	115.78	112.39	122.87	111.63	104.31	130.67	83.43	97.01	106.7	92.07	49.03	76.27	84.44	62.16	98.52	80.83	65.8	63.33	78.52	80.54	76.72	66.6	66.08	69.82	71.75	95.29	42.22	81.3	60.7	107.49
Cyfip2	125.53	141.74	102.36	122.9	105.21	68.91	172.67	165.42	70.56	38.78	46.52	54.91	77.05	64.64	71.54	25.22	90.4	58.26	32.56	70.48	62.28	32.31	85.98	83.59	63.49	59.98	64.11	51.2	55.19	87.31	44.24	88.35	114.35
Krt28	3.61	4.06	60.59	3.7	4.21	239.79	1.9	63.29	355.62	26.52	0	7.57	67.7	43.56	278.18	162.37	279.1	284.19	132.68	223.89	170.66	163.88	92	157.09	94.87	50.93	34.88	129.24	66.26	40.51	109.54	159.02	213.88
Epgn	4.18	0	7.17	6.47	3.37	10.99	0.95	7.96	8.7	9.69	9.63	3.79	13.94	23.2	22.81	4.07	6.41	7.95	9.09	14.68	33.4	8.46	0	2.95	1.55	16.46	10.3	0	13.8	8.83	11.8	20.01	13.24
Ifnb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces4a	1.05	0.92	8.19	0	4.21	4.99	0.95	5.31	6.77	1.94	4.81	0	4.4	11.6	8.29	4.88	1.42	5.3	3.79	13.95	0	18.46	8.24	0	58.85	7.06	14.04	27.78	12.65	0	14.75	0	2.84
Gabra6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm44	3.14	7.36	1.02	0.92	3.37	0	0	3.54	2.9	0	0	0	0	0	8.29	0	0	0	0	0	0	0	0	3.93	0	0	0	0	0	0	0	0	0
Dok5	6.28	10.12	25.6	9.18	11.78	14.98	19.92	29.73	17.45	19.39	36.83	40.05	19.81	11.6	24.88	28.49	9.97	14.14	18.97	4.41	4.61	15.43	8.28	4.92	13.17	3.02	11.23	15.96	0	3.92	5.9	0.97	0.96
Pira2	26.57	12.23	22.43	26.15	24.19	7.79	45.14	35.3	11.02	0	7.78	0	14.21	9.94	6.4	13.85	7.14	7.12	6.04	2.47	0	17.81	5.02	13.62	5.57	21.29	10.37	14.85	4.92	11.11	5.12	4.9	0
Siglecg	6.28	19.33	10.24	10.16	18.52	10.99	8.54	13.84	9.67	1.94	0	3.79	5.87	1.66	1.04	0	0	1.77	3.79	0	0	0	0	2.95	0	0	0.94	0	0	0	0	0	0
Ikbkap	98.32	134.37	95.15	113.66	114.46	116.92	106.07	106.15	105.35	83.39	129.94	111.72	103.5	102.76	158.63	149.79	107.49	128.89	112.81	119.67	122.76	120.01	109.53	130.8	128.62	105.84	101.1	116.69	98.88	79.46	119.5	133.64	135.23
Xirp2	4320.19	4357.92	7538.78	8815.3	8291.63	8000.26	6091.08	6114.91	7122.47	4868.67	15108.51	11742.47	3314.41	3511.81	1398.24	3692.34	676.94	726.71	1057.14	110.13	186.85	88.47	115.42	19.67	454.51	286.95	298.61	535.89	213.85	300.19	190.24	112.43	43.5
Zfp788	32.43	49.7	48.03	35.97	59.76	40.94	54.09	49.21	63.79	48.47	72.01	60.59	57.97	54.69	78.8	40.68	35.59	57.38	58.31	69.75	40.62	60.01	56.53	55.07	47.23	61.15	46.96	49.08	44.84	46.6	51.62	57.16	31.2
