"","PC1","PC2","PC3","PC4","PC5"
"8030462N17Rik",-0.00903452764137593,-0.00566035703830746,-0.0058338653164083,0.00741848877336837,-0.00874335415376689
"Zfp830",-0.0098964192579653,-0.00245760915350485,0.0046720154521371,-0.000599919823937897,0.00355085537889367
"Cyfip2",-0.00530376941260071,-0.0135118569984389,0.0136211285130772,-0.0083003980567741,-0.0122905064038893
"Krt28",0.00623465406876492,0.00285851105664915,-0.0100309011807779,-0.0124699011186225,-0.00513168487545743
"Epgn",0.00485329440179668,0.00670314730528859,-0.00168424024920027,-0.0136230837880696,-0.0152750241315044
"Ifnb1",-1.30358220680864e-15,7.93140306460314e-16,-7.76368127312213e-16,-4.84136290818535e-16,-6.71806421260402e-16
"Ces4a",0.00449330221992141,-0.000525130932504746,-0.00657025094890046,0.00582820047365866,0.00150673054279318
"Gabra6",-4.04464656233786e-17,3.98490220123781e-17,-2.10208236662642e-16,-1.4330625317891e-16,-3.58802489450815e-16
"Rbm44",-0.0039698247032567,-0.0089158905862671,-0.00137569232859728,-0.0254141641400808,0.00475002646247285
"Dok5",-0.00870930245232923,0.0105553669578665,-0.0145247838684167,-0.000450786998498732,0.00828125608229461
"Pira2",-0.0065520425561275,-0.0148705041005095,0.00029665251061847,0.00357591387249534,-0.00275446231553424
"Siglecg",-0.010534019694265,-0.0112486068466838,0.00521823372553072,-0.00308790254747738,-0.00390536936292426
"Ikbkap",0.00232570239153544,0.00234690275662723,-0.00872284325940277,-0.01053921043131,0.00697436289386412
"Xirp2",-0.0131103995548279,0.00993147746701819,0.00274316229602284,0.00143241930626537,0.00167197750370527
"Zfp788",0.000152689154592569,0.00945600038342785,-0.00854409419464165,-0.0107525050426932,0.00155535535523929
"Uchl5",0.00682537463415414,-0.00422367215285857,0.0122545315184043,-0.00546098881860403,-0.00186904688824798
"Upk3b",-0.00556050453218711,0.00645408775487297,0.00582690445979665,0.00188712183949613,-0.0007274823406996
"Cox10",-0.01232372619759,0.00792353440563252,0.00620023228824617,-0.000406193618718421,0.00795136934440697
"C130026I21Rik",-0.00829435028311239,-0.0109536250865097,0.00501218496195606,0.00116287436559384,-0.00439870603417651
