"","PC1","PC2","PC3","PC4","PC5"
"1","Atp1b3","Sh3rf2","Farp1","Gm609","Ptrf"
"2","Six4","Ei24","Wwtr1","Serpina1d","Gm10100"
"3","Pls3","Ppp1r14c","Adrbk1","Antxrl","Pou3f1"
"4","Ank1","Sdcbp","Dgat2","Hist1h3g","Cacng2"
"5","Hspb6","Tulp4","Dkk2","Cplx3","Vpreb2"
"6","Cpt1b","Aktip","Ccdc3","Hao2","Cadps"
"7","Pla2g16","Pdgfa","Triobp","Gtf2a1l","Atf7ip"
"8","Krt14","Lsm14a","Edn1","Olfr490","Lrrc9"
"9","Eef1a1","Mpp1","Fam213b","Htr5a","Camk1g"
"10","Ldhb","Pomp","Prdx5","Tmem52b","Slc13a4"
"11","Crat","Chd6","Daam2","Cdh26","9130204L05Rik"
"12","Dsc3","Cab39","Coch","1700010B08Rik","Gulo"
"13","Rcsd1","Akap9","Rhou","Syce1","Irak1"
"14","Gys1","Nfix","Krt75","Adam5","Dnah2"
"15","Idh3b","Eif4b","Trabd2b","Hrh4","A630095N17Rik"
"16","Ptgr2","Def8","Nrp2","Wdr65","B020004J07Rik"
"17","Fgfr3","Psmd2","Mgp","Gm4312","Il23a"
"18","Adck3","Cap1","Prdx2","Oprd1","Rgs9"
"19","Cd109","Dst","Setd8","Ppp1r9b","Efcab9"
"20","Lpin1","Sri","Gli1","Serpina1a","Olfm3"
"21","Sdha","Gm4631","Smpd1","Rsph1","Grm3"
"22","Slc39a6","Ier3ip1","Timp3","Mc3r","Cxadr"
"23","Atp5b","Impad1","Ell2","Zic4","Hist1h4k"
"24","Klhl30","Skp1a","Hmcn1","Nkx3-1","Mug2"
"25","Rbm38","Clip4","Golim4","Galnt14","Cdrt4"
"26","Aco2","Ube3a","Secisbp2l","BC089491","Foxc1"
"27","Mdh1","Fam160a1","Ncmap","Ccdc50","Tgm5"
"28","Ksr1","Lrba","Nfasc","Diras1","Ddx6"
"29","Ywhaz","Casc5","Angptl7","Sfpq","Apon"
"30","Dhdh","Lars2","Gfra1","Zfp109","Gcm2"
"31","Cs","Nr1d2","Igfbp4","Sstr2","Spink10"
"32","Klhdc2","Tmcc3","Orm1","Leng1","Gm4461"
"33","Pabpc4","Cebpb","Col28a1","Ergic1","Apoa1"
"34","Idh3g","Arhgef10l","Gpm6a","Clta","Lrrc63"
"35","Gaa","Pabpc1","Thbs2","Htr4","Meig1"
"36","Rpl3","Kif13a","Cnn3","Gm4027","Hist1h2ao"
"37","3425401B19Rik","Mcm5","Col8a2","Oit3","Slc25a41"
"38","Mlec","Abca7","Igfbp7","Fam122a","Tff1"
"39","Pfkfb1","C1d","Osbpl1a","Igdcc3","Slc2a2"
"40","Enpp4","Trub2","Col12a1","Slc6a1","Daw1"
"41","Ndufs1","2700060E02Rik","Kirrel","F2","Cldn18"
"42","Epdr1","Zbtb44","Dkk3","Ttll10","BC061212"
"43","Slc41a3","Cers2","Sec11c","Ces1b","Lhb"
"44","Acacb","Mss51","Ncam1","Crhbp","Cylc1"
"45","Trim72","Rab2a","Lepr","Pvrl2","Gm382"
"46","Abcd2","Polr2a","Fam211a","Denr","Klk1b4"
"47","Dlat","Pgd","Srsf5","Hist1h2ac","Abcg8"
"48","Pde7b","Tpt1","H2afy","Adad2","Tcl1"
"49","Epha1","Ociad2","Cln8","Ccdc73","Tenm1"
"50","Dnaja3","Ttc3","Piwil2","Nos1ap","Abl1"
"51","Lmod3","Rab18","Timm50","Farsa","Itga5"
"52","Myom1","Mob4","Filip1l","Apoe","Syt11"
"53","Synpo2","Ryr3","Kank2","Clvs1","Gap43"
"54","Eno3","Rnf170","Rftn2","Safb2","Gucy2c"
"55","Hrc","Cotl1","Cgn","Cldn20","Spata31d1b"
"56","Cyc1","Pttg1ip","Ctsa","Gigyf2","Ptpn14"
"57","Gucd1","Ftl1","Dbi","Paf1","Aldob"
"58","Dld","Cnbp","Lgr5","Spata17","Ran"
