"","PC1","PC2","PC3","PC4"
"g1",-0.0592062470022974,-0.0588248799408383,0.113779527178047,0.0746835635307726
"g2",0.0744216174284697,0.103049999850736,-0.0220218032514701,-0.024592228677446
"g3",0.0144903665090269,-0.0946051757012532,-0.0720437141663099,0.159171040141628
"g4",0.119820931209815,-0.071978557044407,0.0836444438844312,-0.0133985124805344
"g5",0.0324892621019336,-0.219086917017151,0.0898350250296382,-0.0423763207536019
"g6",0.0100501273862569,-0.0428312377934794,-0.158879567228918,-0.0188124464052035
"g7",-0.0753542138522871,-0.122298916661067,-0.0990082953164921,-0.00430931188284319
"g8",-0.0195448434258105,0.0382175144646595,0.0329636466750019,-0.0661766917896769
"g9",-0.158696897355484,-0.115098400432293,0.0432361695475084,0.0845875480068412
"g10",-0.109110084941432,-0.0512837975424209,-0.0128092692838418,-0.0325812441979518
"g11",0.138793326692092,0.0280428118657279,0.00763497115650324,0.123903502577113
"g12",0.00308642698833171,0.0744732505113606,-0.104122802789016,-0.066799645403612
"g13",0.0122048914157248,-0.164795426203937,0.0192777468533088,-0.113108579671404
"g14",-0.0483487608092618,0.0129725945840266,-0.200840551385199,-0.108766932759506
"g15",-0.0969558904078291,0.156407312774485,0.0414697233128138,-0.0850663876977253
"g16",-0.141829800745882,-0.0164342416352301,0.0346993910210761,-0.174812484468364
"g17",-0.0401928082268681,0.0226129775981996,-0.0838408671489457,0.107525279341799
"g18",0.256346285897689,-0.0661908439869474,-0.0735286978885093,0.0647891585291972
"g19",-0.0222894675849118,-0.144002384050201,0.234485392293062,-0.108045392173551
"g20",0.171693392909042,0.0769232970131025,-0.00458745102739728,-0.116616995473754
"g21",0.0499612323398734,0.062248450085118,-0.12111853994259,0.167311056413066
"g22",0.0233745000945682,-0.0484405516421828,0.166614758511477,0.140954891736234
"g23",-0.0917656577899348,-0.115823245375288,-0.0402290289196646,-0.116108757321414
"g24",-0.113128224259511,0.161013455700796,0.0391845718607149,-0.0359373155191876
"g25",-0.140764667983834,0.163065595095282,0.0860514167567127,-0.101335521854428
"g26",0.0434310206386465,-0.0211283198460785,-0.150777120852013,0.151041085177367
"g27",-0.14995207641882,-0.128116023178466,-0.0178649986659858,0.0590416302660229
"g28",-0.112408773876284,0.0498348700398647,-0.0201728288817852,0.0488942363366733
"g29",0.00554508094207043,0.14394168410789,-0.07123176459713,0.135987895984694
"g30",0.210852461213143,0.00883234250950058,0.0254652782528629,-0.0849000216279712
"g31",0.00216216723850443,-0.164374533925021,0.00097220664596312,-0.159941291231371
"g32",-0.117346090765821,0.166729875882886,-0.0425527605407068,-0.124388505714641
"g33",-0.0886340425742848,0.149982153287621,0.0778776511883215,-0.172545099315751
"g34",0.13961220202497,0.00751821701442503,-0.149265895386582,-0.0839504348572473
"g35",0.125739960732451,-0.0582079049884667,-0.102866389875333,-0.113461753259837
"g36",0.0481159384541576,-0.106327533094925,-0.198917260785383,0.063183987772662
"g37",0.0148433658223015,0.143007521862301,0.0605003790215417,-0.0941313592100252
"g38",-0.0275843127870826,0.0663346507481309,-0.149757709827385,-0.0374086155272002
"g39",0.045773572459297,0.0579944008444585,-0.0538614259199146,0.052620093706821
"g40",-0.0663973600881469,0.0850586811022444,0.122158070449246,-0.0648394578037436
"g41",-0.0232413613739856,-0.0360266488677992,0.0139932722683499,0.00468248889768249
"g42",0.135947180922287,0.0468425321144561,-0.141759243788762,-0.0278343174000837
"g43",-0.0650969315097917,-0.0355393298319362,-0.0925090577964966,-0.0209684355996147
"g44",0.135110795305211,0.12957475181463,0.0984074684295188,-0.00988852678023952
"g45",-0.00843994293645132,0.130381009600785,-0.000275747152020569,0.054421761537337
"g46",-0.135642952749969,0.0976028297899696,0.0479641796426548,0.0461138353767627
"g47",0.0963984116478287,0.0604158166445843,0.0485725459232942,0.149293318651751
"g48",-0.051695684597398,-0.0227939234060555,-0.122593202316159,-0.00621385405949841
"g49",0.0512302440699357,0.0440226688660122,-0.0283698326585831,0.0875537492988706
"g51",-0.0254387421469765,0.0424022525101388,0.0835490535663884,0.107820851312607
"g52",-0.125808755300553,-0.0949802961127383,-0.121922568196557,0.0126525479893594
