,H1_rep1,H1_rep2,H1_rep3,H1_rep4,H9_rep1,H9_rep2,H9_rep3,DEC_rep1,DEC_rep2,NPC_rep1,NPC_rep2
g1,223.41,243,246.99,240,779,808,988,1159,686.93,2065.43,1708.7
g2,130.56,117.17,110.67,118.62,319.04,322.19,342.94,356.94,127.38,105.72,124.51
g3,53,38,44,40,104,89,111,97,127,456.5,381.03
g4,599,592.07,579.01,512.07,1656.41,1799.02,1907.03,2495.52,2329.52,1090.09,1848.16
g5,427.88,399.83,427.85,380.5,927.18,995.88,898.44,888.05,831.92,908.41,1039.28
g6,1728.05,1609.94,1661.99,1578.18,3574.16,3986.12,4416,5149.78,3805.14,1872,2114.84
g7,2,1,0,1,0,6,1,209,197.26,10,3
g8,0,0,0,0,0,0,0,0,0,0,0
g9,1118.11,1051.99,1057,999.6,2941.86,3502.65,3892.58,3596.01,3216.28,2484.07,2892.74
g10,9.19,14.3,7.23,9.83,43.22,45.91,54.34,37.53,44.28,62.56,65.76
g11,1.14,9,4.43,8.77,24.28,46.29,30.42,134.37,149.07,29.29,35.24
g12,0,0,0,0,0,0,0,1,0,0,0
g13,362.85,324.81,330,335,924.92,970.57,1066.74,1227.59,852.09,763,1007.74
g14,638.39,589.99,568.97,593,1711.23,1991.98,2155.06,2415.43,1892.15,1680.58,2291.58
g15,3217.03,3216.92,3034.41,2922.87,8058.05,9028.01,9233.63,1671.17,1834.61,99.84,65.19
g16,3,7,5,3,3,6,14,0,6,3,3
g17,0,0,0,0,0,0,0,0,0,0,0
g18,10,8,11,6,13,13,8,17,11,2,3
g19,2968.59,2883.84,2696.17,2486,7584,8808.56,8397.85,7959.94,8200.48,7326.04,9568.81
g20,1,2,1,0,1,9,5,1984,1711.95,1,3
g21,12,16,16,14,24,28,17,55,39,18,14
g22,910,828,855,814.43,3005,3600.23,3685,2798,2266,1601,2402
g23,318.99,348.06,331,335.01,1108.64,1302.12,1278.15,961.86,961.38,391.99,383.98
g24,162.56,145.3,135.24,162.76,313.45,306.95,393.85,688.64,710.02,537.2,738.35
g25,0,0,0,0,0,0,0,0,0,0,0
g26,161,129,129,149.97,358.81,429,470.26,413.98,313,324.99,507.4
g27,1,7,8,3,15,21,7,24,24,14,3
g28,294,308,324,258.87,908,1062,960,442,479.73,605,770.2
g29,668.04,672.06,677,649,1385.69,1621.61,1851.81,1398,1495,1228.6,1568.01
g30,289.49,305.49,261.35,226.71,818.22,772.78,812.76,1668.73,1657.68,2753.11,1781.19
g31,0,1.1,0.78,0,3.15,5.04,5.23,3.38,3.65,8.57,7.79
g32,47.13,44.19,42.16,39.13,49.13,77,62.97,49.21,31.07,77,58.14
g33,2.38,3.38,7.22,5.6,9.01,19.8,7.09,13.95,6.29,6.49,4.48
g34,3,0,2,4,6,4,11,8,3,12,1
g35,121.52,131.25,111.65,96.36,251.05,269.63,277.03,463.71,450.95,259.58,295.85
g36,187,174,172,177,564,629,669,659.99,603,319,430.51
g37,0,0,0,0,0,0,0,0,0,0,1
g38,821.28,775.31,731.72,689.28,1376.7,1027.88,1236.71,934.7,1022.34,715.16,498.57
g39,253.15,257.95,225.4,222.43,575.44,689.28,646.69,1374.94,1289.13,706.3,449.28
g40,575,579.79,610,540,966,639,914,14988.89,12371.17,5669.77,6138.25
g41,2088.56,2136.56,2015.72,2087.95,4993.93,5877.73,5686.16,2667.93,2122.35,2792.58,3821.19
g42,80.35,110.07,77.77,74.16,271.77,367,301.46,226.73,197.94,302.86,263.95
g43,0,0,0,0,0,0,0,0,0,1,0
g44,593.74,549.15,497.05,507.98,1653.37,2011.83,2191.98,1639.35,1490.18,2168.1,3087.8
g45,39,29,37.68,50.97,76.78,77,76,28,47,448.99,260
g46,227.44,212.17,189.21,211.6,693.92,716.13,876.02,1358.76,1115.81,1508.13,1779.73
g47,2,1,1,0,93,136,124,281,156,0,4
g48,161,165,137,165,416,565.99,534.1,438,292.85,436.06,456.1
g49,3,2,9,2,7,9,15,11,33,67,81
g50,53,46,49.16,35,196.29,153.34,160.98,190,76.94,791.55,451.14
g51,1,0,0,0,0,0,0,0,0,3,0
g52,310.13,331.59,285.09,270.42,804.23,871.01,1040.46,1199.25,1109.97,1033.3,1042.74
g53,61,48,41.97,56,129,134,133,19,22,110,80
g54,2125.23,2066.39,2094.38,1992.42,4898.01,4967.53,5321.01,2685.04,2210.02,5372,3829.24
g55,0,0,0,0,0,0,0,1.01,0,0,0
g56,100,104,99,87,322,542,433,198,87,768,3246.05
g57,416,407.1,377,355.81,2002.62,2044.19,2368.64,3313.26,3006.75,6038.42,7435.84
g58,44.97,55,43,42.04,149,220,208,235,232,190,232
g59,269.39,265.43,247.42,252.29,733.29,753.93,825.91,1088.3,921.24,1095.49,649.16
g60,289,288,289,309,683,842,850,353,294,300,609.55
g61,1461.05,1533.09,1444.45,1373.28,4856.18,5204.49,5866.9,4754.46,3563.53,5212.41,6126.64
g62,9.84,5.14,7.02,7.3,20.19,16.77,16.43,21.36,26.26,42.82,42.29
g63,0,0,0,0,0,0,0,0,0,0,0
g64,0,1,2,1,0,2,2,0,1,6,41
g65,129,138,136,129,47,61.65,109,63,25,40,307
g66,335.15,345.99,344.74,291,387,454,437,501,380,304.48,223.95
g67,1887.58,1740.34,1641.88,1709.08,3561.72,4068.93,4262.68,2070.88,1613.87,830.33,1575.49
g68,0,0,0,0,0,0,0,0,0,0,0
g69,0,1.82,1.33,0,1.17,1.43,2.68,0,0,0,0
g70,390.1,385.02,369,341.88,556.55,620.38,654.42,1221.69,1323.52,265.58,126.11
